,name,image,profile,
12,峯吉 愛梨沙,https://www.stu48.com/image/profile/mineyoshi_arisa.jpg,https://www.stu48.com/feature/mineyoshi_arisa,
13,森下 舞羽,https://www.stu48.com/image/profile/morishita_maiha.jpg,https://www.stu48.com/feature/morishita_maiha,
14,矢野 帆夏,https://www.stu48.com/image/profile/yano_honoka.jpg,https://www.stu48.com/feature/yano_honoka,
15,薮下 楓,https://www.stu48.com/image/profile/yabushita_fu.jpg,https://www.stu48.com/feature/yabushita_fu,
16,沖 侑果,https://www.stu48.com/image/profile/oki_yuka.jpg,https://www.stu48.com/feature/oki_yuka,
17,信濃 宙花,https://www.stu48.com/image/profile/shinano_soraha.jpg,https://www.stu48.com/feature/shinano_soraha,
18,中村 舞,https://www.stu48.com/image/profile/nakamura_mai.jpg,https://www.stu48.com/feature/nakamura_mai,
19,池田 裕楽,https://www.stu48.com/image/profile/ikeda_yura_original.jpg,https://www.stu48.com/feature/ikeda_yura,
20,今泉 美利愛,https://www.stu48.com/image/profile/imaizumi_miria_original.jpg,https://www.stu48.com/feature/imaizumi_miria,
21,内海 里音,https://www.stu48.com/image/profile/utsumi_rine_original.jpg,https://www.stu48.com/feature/utsumi_rine,
22,尾崎 世里花,https://www.stu48.com/image/profile/osaki_serika_original.jpg,https://www.stu48.com/feature/osaki_serika,
23,川又 あん奈,https://www.stu48.com/image/profile/kawamata_anna_original.jpg,https://www.stu48.com/feature/kawamata_anna,
24,川又 優菜,https://www.stu48.com/image/profile/kawamata_yuuna_original.jpg,https://www.stu48.com/feature/kawamata_yuuna,
25,工藤 理子,https://www.stu48.com/image/profile/kudou_riko_original.jpg,https://www.stu48.com/feature/kudou_riko,
26,小島 愛子,https://www.stu48.com/image/profile/kojima_aiko_original.jpg,https://www.stu48.com/feature/kojima_aiko,
27,迫 姫華,https://www.stu48.com/image/profile/sako_himeka_original.jpg,https://www.stu48.com/feature/sako_himeka,
28,清水 紗良,https://www.stu48.com/image/profile/shimizu_sara_original.jpg,https://www.stu48.com/feature/shimizu_sara,
29,鈴木 彩夏,https://www.stu48.com/image/profile/suzuki_ayaka_original.jpg,https://www.stu48.com/feature/suzuki_ayaka,
30,高雄 さやか,https://www.stu48.com/image/profile/takao_sayaka_original.jpg,https://www.stu48.com/feature/takao_sayaka,
31,田口 玲佳,https://www.stu48.com/image/profile/taguchi_reika_original.jpg,https://www.stu48.com/feature/taguchi_reika,
32,田中 美帆,https://www.stu48.com/image/profile/tanaka_miho_original.jpg,https://www.stu48.com/feature/tanaka_miho,
33,田村 菜月,https://www.stu48.com/image/profile/tamura_natsuki_original.jpg,https://www.stu48.com/feature/tamura_natsuki,
34,中廣 弥生,https://www.stu48.com/image/profile/nakahiro_yayoi_original.jpg,https://www.stu48.com/feature/nakahiro_yayoi,
35,原田 清花,https://www.stu48.com/image/profile/harada_sayaka_original.jpg,https://www.stu48.com/feature/harada_sayaka,
36,南 有梨菜,https://www.stu48.com/image/profile/minami_yurina_original.jpg,https://www.stu48.com/feature/minami_yurina,
37,宗雪 里香,https://www.stu48.com/image/profile/muneyuki_rika_original.jpg,https://www.stu48.com/feature/muneyuki_rika,
38,吉崎 凜子,https://www.stu48.com/image/profile/yoshizaki_rinko_original.jpg,https://www.stu48.com/feature/yoshizaki_rinko,
39,吉田 彩良,https://www.stu48.com/image/profile/yoshida_sara_original.jpg,https://www.stu48.com/feature/yoshida_sara,
40,立仙 百佳,https://www.stu48.com/image/profile/rissen_momoka_original.jpg,https://www.stu48.com/feature/rissen_momoka,
41,渡辺 菜月,https://www.stu48.com/image/profile/watanabe_natsuki_original.jpg,https://www.stu48.com/feature/watanabe_natsuki,
0,青海ひな乃,http://www.ske48.co.jp/profile/?id=aoumi_hinano,http://sp.ske48.co.jp/img/120x150/aoumi_hinano.jpg,
1,赤堀君江,http://www.ske48.co.jp/profile/?id=akahori_kimie,http://sp.ske48.co.jp/img/120x150/akahori_kimie.jpg,
2,荒野姫楓,http://www.ske48.co.jp/profile/?id=arano_himeka,http://sp.ske48.co.jp/img/120x150/arano_himeka.jpg,
3,石黒友月,http://www.ske48.co.jp/profile/?id=ishiguro_yuzuki,http://sp.ske48.co.jp/img/120x150/ishiguro_yuzuki.jpg,
4,井上瑠夏,http://www.ske48.co.jp/profile/?id=inoue_ruka,http://sp.ske48.co.jp/img/120x150/inoue_ruka.jpg,
5,大谷悠妃,http://www.ske48.co.jp/profile/?id=otani_yuki,http://sp.ske48.co.jp/img/120x150/otani_yuki.jpg,
6,上村亜柚香,http://www.ske48.co.jp/profile/?id=kamimura_ayuka,http://sp.ske48.co.jp/img/120x150/kamimura_ayuka.jpg,
7,北川愛乃,http://www.ske48.co.jp/profile/?id=kitagawa_yoshino,http://sp.ske48.co.jp/img/120x150/kitagawa_yoshino.jpg,
8,坂本真凛,http://www.ske48.co.jp/profile/?id=sakamoto_marin,http://sp.ske48.co.jp/img/120x150/sakamoto_marin.jpg,
9,杉山愛佳,http://www.ske48.co.jp/profile/?id=sugiyama_aika,http://sp.ske48.co.jp/img/120x150/sugiyama_aika.jpg,
10,竹内ななみ,http://www.ske48.co.jp/profile/?id=takeuchi_nanami,http://sp.ske48.co.jp/img/120x150/takeuchi_nanami.jpg,
11,都築里佳,http://www.ske48.co.jp/profile/?id=tsuzuki_rika,http://sp.ske48.co.jp/img/120x150/tsuzuki_rika.jpg,
12,中坂美祐,http://www.ske48.co.jp/profile/?id=nakasaka_miyu,http://sp.ske48.co.jp/img/120x150/nakasaka_miyu.jpg,
13,仲村和泉,http://www.ske48.co.jp/profile/?id=nakamura_izumi,http://sp.ske48.co.jp/img/120x150/nakamura_izumi.jpg,
14,野島樺乃,http://www.ske48.co.jp/profile/?id=nojima_kano,http://sp.ske48.co.jp/img/120x150/nojima_kano.jpg,
15,野村実代,http://www.ske48.co.jp/profile/?id=nomura_miyo,http://sp.ske48.co.jp/img/120x150/nomura_miyo.jpg,
16,平野百菜,http://www.ske48.co.jp/profile/?id=hirano_momona,http://sp.ske48.co.jp/img/120x150/hirano_momona.jpg,
17,松井珠理奈,http://www.ske48.co.jp/profile/?id=matsui_jurina,http://sp.ske48.co.jp/img/120x150/matsui_jurina.jpg,
18,松本慈子,http://www.ske48.co.jp/profile/?id=matsumoto_chikako,http://sp.ske48.co.jp/img/120x150/matsumoto_chikako.jpg,
19,山内鈴蘭,http://www.ske48.co.jp/profile/?id=yamauchi_suzuran,http://sp.ske48.co.jp/img/120x150/yamauchi_suzuran.jpg,
20,青木詩織,http://www.ske48.co.jp/profile/?id=shiori_aoki,http://sp.ske48.co.jp/img/120x150/shiori_aoki.jpg,
21,荒井優希,http://www.ske48.co.jp/profile/?id=arai_yuki,http://sp.ske48.co.jp/img/120x150/arai_yuki.jpg,
22,入内嶋涼,http://www.ske48.co.jp/profile/?id=iriuchijima_sayaka,http://sp.ske48.co.jp/img/120x150/iriuchijima_sayaka.jpg,
23,江籠裕奈,http://www.ske48.co.jp/profile/?id=ego_yuna,http://sp.ske48.co.jp/img/120x150/ego_yuna.jpg,
24,大芝りんか,http://www.ske48.co.jp/profile/?id=oshiba_rinka,http://sp.ske48.co.jp/img/120x150/oshiba_rinka.jpg,
25,太田彩夏,http://www.ske48.co.jp/profile/?id=ota_ayaka,http://sp.ske48.co.jp/img/120x150/ota_ayaka.jpg,
26,大場美奈,http://www.ske48.co.jp/profile/?id=mina_oba,http://sp.ske48.co.jp/img/120x150/mina_oba.jpg,
27,岡本彩夏,http://www.ske48.co.jp/profile/?id=okamoto_ayaka,http://sp.ske48.co.jp/img/120x150/okamoto_ayaka.jpg,
28,片岡成美,http://www.ske48.co.jp/profile/?id=kataoka_narumi,http://sp.ske48.co.jp/img/120x150/kataoka_narumi.jpg,
29,川嶋美晴,http://www.ske48.co.jp/profile/?id=kawashima_miharu,http://sp.ske48.co.jp/img/120x150/kawashima_miharu.jpg,
30,北野瑠華,http://www.ske48.co.jp/profile/?id=ruka_kitano,http://sp.ske48.co.jp/img/120x150/ruka_kitano.jpg,
31,白井琴望,http://www.ske48.co.jp/profile/?id=shirai_kotono,http://sp.ske48.co.jp/img/120x150/shirai_kotono.jpg,
32,白井友紀乃,http://www.ske48.co.jp/profile/?id=shirai_yukino,http://sp.ske48.co.jp/img/120x150/shirai_yukino.jpg,
33,鈴木愛菜,http://www.ske48.co.jp/profile/?id=suzuki_ena,http://sp.ske48.co.jp/img/120x150/suzuki_ena.jpg,
34,惣田紗莉渚,http://www.ske48.co.jp/profile/?id=soda_sarina,http://sp.ske48.co.jp/img/120x150/souda_sarina.jpg,
35,高柳明音,http://www.ske48.co.jp/profile/?id=takayanagi_akane,http://sp.ske48.co.jp/img/120x150/takayanagi_akane.jpg,
36,竹内彩姫,http://www.ske48.co.jp/profile/?id=saki_takeuchi,http://sp.ske48.co.jp/img/120x150/saki_takeuchi.jpg,
37,中野愛理,http://www.ske48.co.jp/profile/?id=nakano_airi,http://sp.ske48.co.jp/img/120x150/nakano_airi.jpg,
38,日高優月,http://www.ske48.co.jp/profile/?id=yuzuki_hidaka,http://sp.ske48.co.jp/img/120x150/yuzuki_hidaka.jpg,
39,藤本冬香,http://www.ske48.co.jp/profile/?id=fujimoto_fuyuka,http://sp.ske48.co.jp/img/120x150/fujimoto_fuyuka.jpg,
40,古畑奈和,http://www.ske48.co.jp/profile/?id=furuhata_nao,http://sp.ske48.co.jp/img/120x150/furuhata_nao.jpg,
41,水野愛理,http://www.ske48.co.jp/profile/?id=mizuno_airi,http://sp.ske48.co.jp/img/120x150/mizuno_airi.jpg,
42,相川暖花,http://www.ske48.co.jp/profile/?id=aikawa_honoka,http://sp.ske48.co.jp/img/120x150/aikawa_honoka.jpg,
43,浅井裕華,http://www.ske48.co.jp/profile/?id=asai_yuka,http://sp.ske48.co.jp/img/120x150/asai_yuka.jpg,
44,池田楓,http://www.ske48.co.jp/profile/?id=ikeda_kaede,http://sp.ske48.co.jp/img/120x150/ikeda_kaede.jpg,
45,石川花音,http://www.ske48.co.jp/profile/?id=ishikawa_kanon,http://sp.ske48.co.jp/img/120x150/ishikawa_kanon.jpg,
46,井田玲音名,http://www.ske48.co.jp/profile/?id=reona_ida,http://sp.ske48.co.jp/img/120x150/reona_ida.jpg,
47,鎌田菜月,http://www.ske48.co.jp/profile/?id=natsuki_kamata,http://sp.ske48.co.jp/img/120x150/natsuki_kamata.jpg,
48,熊崎晴香,http://www.ske48.co.jp/profile/?id=haruka_kumazaki,http://sp.ske48.co.jp/img/120x150/haruka_kumazaki.jpg,
49,倉島杏実,http://www.ske48.co.jp/profile/?id=kurashima_ami,http://sp.ske48.co.jp/img/120x150/kurashima_ami.jpg,
50,斉藤真木子,http://www.ske48.co.jp/profile/?id=saito_makiko,http://sp.ske48.co.jp/img/120x150/saito_makiko.jpg,
51,佐藤佳穂,http://www.ske48.co.jp/profile/?id=sato_kaho,http://sp.ske48.co.jp/img/120x150/sato_kaho.jpg,
52,末永桜花,http://www.ske48.co.jp/profile/?id=suenaga_oka,http://sp.ske48.co.jp/img/120x150/suenaga_oka.jpg,
53,菅原茉椰,http://www.ske48.co.jp/profile/?id=sugawara_maya,http://sp.ske48.co.jp/img/120x150/sugawara_maya.jpg,
54,鈴木恋奈,http://www.ske48.co.jp/profile/?id=suzuki_kokona,http://sp.ske48.co.jp/img/120x150/suzuki_kokona.jpg,
55,須田亜香里,http://www.ske48.co.jp/profile/?id=suda_akari,http://sp.ske48.co.jp/img/120x150/suda_akari.jpg,
56,髙畑結希,http://www.ske48.co.jp/profile/?id=takahata_yuki,http://sp.ske48.co.jp/img/120x150/takahata_yuki.jpg,
57,田辺美月,http://www.ske48.co.jp/profile/?id=tanabe_mizuki,http://sp.ske48.co.jp/img/120x150/tanabe_mizuki.jpg,
58,谷真理佳,http://www.ske48.co.jp/profile/?id=tani_marika,http://sp.ske48.co.jp/img/120x150/tani_marika.jpg,
59,西満里奈,http://www.ske48.co.jp/profile/?id=nishi_marina,http://sp.ske48.co.jp/img/120x150/nishi_marina.jpg,
60,平田詩奈,http://www.ske48.co.jp/profile/?id=hirata_shiina,http://sp.ske48.co.jp/img/120x150/hirata_shiina.jpg,
61,深井ねがい,http://www.ske48.co.jp/profile/?id=fukai_negai,http://sp.ske48.co.jp/img/120x150/fukai_negai.jpg,
62,福士奈央,http://www.ske48.co.jp/profile/?id=fukushi_nao,http://sp.ske48.co.jp/img/120x150/fukushi_nao.jpg,
63,青木莉樺,http://www.ske48.co.jp/profile/?id=aoki_rika,http://sp.ske48.co.jp/img/120x150/aoki_rika.jpg,
64,五十嵐早香,http://www.ske48.co.jp/profile/?id=igarashi_hayaka,http://sp.ske48.co.jp/img/120x150/igarashi_hayaka.jpg,
65,石塚美月,http://www.ske48.co.jp/profile/?id=ishizuka_mizuki,http://sp.ske48.co.jp/img/120x150/ishizuka_mizuki.jpg,
66,伊藤実希,http://www.ske48.co.jp/profile/?id=ito_miki,http://sp.ske48.co.jp/img/120x150/ito_miki.jpg,
67,加藤結,http://www.ske48.co.jp/profile/?id=kato_yui,http://sp.ske48.co.jp/img/120x150/kato_yui.jpg,
68,鬼頭未来,http://www.ske48.co.jp/profile/?id=kito_mikuru,http://sp.ske48.co.jp/img/120x150/kito_mikuru.jpg,
69,澤田奏音,http://www.ske48.co.jp/profile/?id=sawada_kanon,http://sp.ske48.co.jp/img/120x150/sawada_kanon.jpg,
70,杉山歩南,http://www.ske48.co.jp/profile/?id=sugiyama_anan,http://sp.ske48.co.jp/img/120x150/sugiyama_anan.jpg,
71,西井美桜,http://www.ske48.co.jp/profile/?id=nishii_mio,http://sp.ske48.co.jp/img/120x150/nishii_mio.jpg,
72,林美澪,http://www.ske48.co.jp/profile/?id=hayashi_mirei,http://sp.ske48.co.jp/img/120x150/hayashi_mirei.jpg,
